channel name,channel id,video name,video id,Comment Count
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Pocket BONSAI,TGmLUfMcYGk,104.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon EXPO GYM,-zCmB9ZlmZU,102.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Folding Screen Collection | Sumi-e Painting | Unboxing Video,ONeVP-txaS8,94.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,"Pokemon Evolutionary Stone | Thunder Stone , Fire Stone , Water Stone",4Sizm8pJh6k,89.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon the movie merchandise - Mewtwo Strikes Back Evolution [Fast Edition],1kYgaIUrVzs,88.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Miniature vending machine and Pokemon capsule toy figures,3pjiP-BGaME,85.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Dawn Figures Complete - Chibi Dawn,bsbXxGRlkpg,84.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pikachu Outbreak Festival 2018 - Pokemon Synchronicity in Yokohama,1lAT8VcVY9Y,84.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Trainers [Pokemon Masters Items],pxFCdNNKhKA,80.0
AQUARELA KIDS,UCnC5FEYCvpN_Tq2eOpyg9pw,QUEM FIZER O PIOR DESENHO COME!,-wEO6T-cn7A,5306.0
AQUARELA KIDS,UCnC5FEYCvpN_Tq2eOpyg9pw,Sapo Zé INVADE a NOVA ATUALIZAÇÃO DO PK XD | Sapo Zé Joga PK XD #9,IyyLVAEyvq4,5127.0
AQUARELA KIDS,UCnC5FEYCvpN_Tq2eOpyg9pw,QUEM SOU EU usando SÓ EMOJI ( batalha ) 🤪👻,laYGTMfgFS4,3836.0
AQUARELA KIDS,UCnC5FEYCvpN_Tq2eOpyg9pw,SAPO ZÉ FOGE DE BALEIA NO PK XD | Sapo Zé Joga PK XD #2,Zx_3MqBqH-8,2813.0
AQUARELA KIDS,UCnC5FEYCvpN_Tq2eOpyg9pw,SAPO ZÉ PEGA VIRUS E SUA ARMADURA DESAPARECEU NO PK XD | Sapo Zé Joga PK XD #5,AMzlAiB-Zcs,2684.0
Aatma Music,UCzODUn8CsGbPMSb2foXQeyw,"Piya Re Piya (Official Video) | Asim Riaz | Adah Sharma,Yasser D, Rashid K | New Valentine Song 2022",FcFbQmJv7fU,93609.0
AbbaVEVO,UCa_4DcdTB9QfK0LY9-7qWuQ,ABBA - Dancing Queen (Official Music Video),xFrGuyw1V8s,166456.0
Abu music,UCjQFgnpxDY2b86b0sKp36dg,Abu Ft. Yousra - 3 Daqat | Official Music Video | أبو و يسرا - ثلاث دقات,ejvpVhvKesM,166971.0
Adam Saleh,UC0W6NYJ_y7cd3laVfaSOl0A,PULLING HIJAB OFF EXPERIMENT!,HAhkyRyNV_g,47727.0
AdeleVEVO,UComP_epzeKzvBX156r6pm1Q,Adele - Easy On Me (Official Video),U3ASj1L6_sY,252826.0
AerosmithVEVO,UCiXsh6CVvfigg8psfsTekUA,Aerosmith - I Don't Want to Miss a Thing (Official HD Video),JkK8g6FMEXE,88433.0
Against The Current,UCxMsgwldMZiuFTD6jjv32yQ,"""See You Again"" - Wiz Khalifa feat. Charlie Puth (Against The Current Cover)",3dMh3c8qPOg,13230.0
AkonVEVO,UCX2v47KsDKqajrEYFV7GbBg,Akon - Lonely (Official Music Video),6EEW-9NDM5k,330727.0
Alesso,UC05i95k-w8CvrtZ-yGTob7A,Alesso & Anitta - Is That For Me (Official Music Video),5ggZ9jIHnr8,91539.0
Alex Rose,UCTADar3wgHZaPoZYGYgKGaw,"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]",lKDGxAHZt0E,96490.0
